Datum,Částka,Zpráva,Kategorie,Merchant,Month,Year
2022-08-08,-2317.0,"Částka: 2317 CZK 05.08.2022 Místo: 1863217 BAZAR FAETON C. BUDEJOVICE  , Částka: 2317 CZK 05.08.2022, Místo: 1863217 BAZAR FAETON, C. BUDEJOVICE,",Odchozí nezatříděná,1863217 Bazar Faeton C. Budejov,2022-08,2022
2022-08-18,-17897.0,"Částka: 17897 CZK 16.08.2022 Místo: 1863217 BAZAR FAETON C. BUDEJOVICE  , Částka: 17897 CZK 16.08.2022, Místo: 1863217 BAZAR FAETON, C. BUDEJOVICE,",Odchozí nezatříděná,1863217 Bazar Faeton C. Budejov,2022-08,2022
2022-09-19,-3018.0,"Částka: 3018 CZK 15.09.2022 Místo: 1863217 BAZAR FAETON C. BUDEJOVICE  , Částka: 3018 CZK 15.09.2022, Místo: 1863217 BAZAR FAETON, C. BUDEJOVICE,",Odchozí nezatříděná,1863217 Bazar Faeton C. Budejov,2022-09,2022
2022-09-22,-1368.0,"Částka: 1368 CZK 20.09.2022 Místo: 1863217 BAZAR FAETON C. BUDEJOVICE  , Částka: 1368 CZK 20.09.2022, Místo: 1863217 BAZAR FAETON, C. BUDEJOVICE,",Odchozí nezatříděná,1863217 Bazar Faeton C. Budejov,2022-09,2022
2022-10-07,-4997.0,"Částka: 4997 CZK 06.10.2022 Místo: 1863217 BAZAR FAETON C. BUDEJOVICE  , Částka: 4997 CZK 06.10.2022, Místo: 1863217 BAZAR FAETON, C. BUDEJOVICE,",Odchozí nezatříděná,1863217 Bazar Faeton C. Budejov,2022-10,2022
2022-10-17,-1182.0,"Částka: 1182 CZK 14.10.2022 Místo: 1863217 BAZAR FAETON C. BUDEJOVICE  , Částka: 1182 CZK 14.10.2022, Místo: 1863217 BAZAR FAETON, C. BUDEJOVICE,",Odchozí nezatříděná,1863217 Bazar Faeton C. Budejov,2022-10,2022
2022-11-28,-4216.0,"Částka: 4216 CZK 25.11.2022 Místo: 1863217 BAZAR FAETON C. BUDEJOVICE, Částka: 4216 CZK 25.11.2022, Místo: 1863217 BAZAR FAETON, C. BUDEJOVICE",Odchozí nezatříděná,1863217 Bazar Faeton C. Budejov,2022-11,2022
2022-12-12,-7721.0,"Částka: 7721 CZK 09.12.2022 Místo: 1863217 BAZAR FAETON C. BUDEJOVICE, Částka: 7721 CZK 09.12.2022, Místo: 1863217 BAZAR FAETON, C. BUDEJOVICE",Odchozí nezatříděná,1863217 Bazar Faeton C. Budejov,2022-12,2022
2022-12-20,-987.0,"Částka: 987 CZK 19.12.2022 Místo: 1863217 BAZAR FAETON C. BUDEJOVICE, Částka: 987 CZK 19.12.2022, Místo: 1863217 BAZAR FAETON, C. BUDEJOVICE",Odchozí nezatříděná,1863217 Bazar Faeton C. Budejov,2022-12,2022
2023-02-06,-10265.0,"Částka: 10265 CZK 02.02.2023 Místo: 1863217 BAZAR FAETON C. BUDEJOVICE, Částka: 10265 CZK 02.02.2023, Místo: 1863217 BAZAR FAETON, C. BUDEJOVICE",Odchozí nezatříděná,1863217 Bazar Faeton C. Budejov,2023-02,2023
2023-07-24,-999.0,"Částka: 999 CZK 21.07.2023 Místo: 1863217 BAZAR FAETON C. BUDEJOVICE, Částka: 999 CZK 21.07.2023, Místo: 1863217 BAZAR FAETON, C. BUDEJOVICE",Odchozí nezatříděná,1863217 Bazar Faeton C. Budejov,2023-07,2023
2023-08-21,-3162.0,"Částka: 3162 CZK 18.08.2023 Místo: 1863217 BAZAR FAETON C. BUDEJOVICE, Částka: 3162 CZK 18.08.2023, Místo: 1863217 BAZAR FAETON, C. BUDEJOVICE",Odchozí nezatříděná,1863217 Bazar Faeton C. Budejov,2023-08,2023
2024-08-28,-114.8,"Částka: 114,8 CZK 27.08.2024 Místo: 234 Prazska Ceske Bud Ceske Budejov, Částka: 114,8 CZK 27.08.2024, Místo: 234 Prazska Ceske Bud, Ceske Budejov",Drogerie,234 Prazska Ceske Bud Ceske Bud,2024-08,2024
2023-12-22,-136.0,"Částka: 136 CZK 20.12.2023 Místo: 258 GECO VAM DEKUJE PRAHA 9, Částka: 136 CZK 20.12.2023, Místo: 258 GECO VAM DEKUJE, PRAHA 9",Nákupy a služby,258 Geco Vam Dekuje Praha 9,2023-12,2023
2022-08-29,-8616.0,"Částka: 8616 CZK 25.08.2022 Místo: 4279357PPL PS VEZEMTI C. BUDEJOVICE  , Částka: 8616 CZK 25.08.2022, Místo: 4279357PPL PS VEZEMTI, C. BUDEJOVICE,",Nákupy a služby,4279357Ppl Ps Vezemti C. Budejo,2022-08,2022
2023-08-07,-173.0,"Částka: 173 CZK 04.08.2023 Místo: 501 GECO VAM DEKUJE CESKE BUDEJOV, Částka: 173 CZK 04.08.2023, Místo: 501 GECO VAM DEKUJE, CESKE BUDEJOV",Nákupy a služby,501 Geco Vam Dekuje Ceske Budej,2023-08,2023
2025-07-14,-320.0,"Částka: 320 CZK 12.07.2025 Místo: 501 GECO VAM DEKUJE CESKE BUDEJOV, Částka: 320 CZK 12.07.2025, Místo: 501 GECO VAM DEKUJE, CESKE BUDEJOV",Nákupy a služby,501 Geco Vam Dekuje Ceske Budej,2025-07,2025
2024-10-10,-164.0,"Částka: 164 CZK 08.10.2024 Místo: 503 GECO VAM DEKUJE CESKE BUDEJOV, Částka: 164 CZK 08.10.2024, Místo: 503 GECO VAM DEKUJE, CESKE BUDEJOV",Nákupy a služby,503 Geco Vam Dekuje Ceske Budej,2024-10,2024
2025-01-14,-164.0,"Částka: 164 CZK 12.01.2025 Místo: 503 GECO VAM DEKUJE CESKE BUDEJOV, Částka: 164 CZK 12.01.2025, Místo: 503 GECO VAM DEKUJE, CESKE BUDEJOV",Nákupy a služby,503 Geco Vam Dekuje Ceske Budej,2025-01,2025
2025-01-28,-164.0,"Částka: 164 CZK 26.01.2025 Místo: 503 GECO VAM DEKUJE CESKE BUDEJOV, Částka: 164 CZK 26.01.2025, Místo: 503 GECO VAM DEKUJE, CESKE BUDEJOV",Nákupy a služby,503 Geco Vam Dekuje Ceske Budej,2025-01,2025
2024-05-07,-268.0,"Částka: 268 CZK 05.05.2024 Místo: 510 GECO VAM DEKUJE CESKE BUDEJOV, Částka: 268 CZK 05.05.2024, Místo: 510 GECO VAM DEKUJE, CESKE BUDEJOV",Nákupy a služby,510 Geco Vam Dekuje Ceske Budej,2024-05,2024
2025-01-27,-164.0,"Částka: 164 CZK 24.01.2025 Místo: 510 GECO VAM DEKUJE CESKE BUDEJOV, Částka: 164 CZK 24.01.2025, Místo: 510 GECO VAM DEKUJE, CESKE BUDEJOV",Nákupy a služby,510 Geco Vam Dekuje Ceske Budej,2025-01,2025
2024-04-22,-173.0,"Částka: 173 CZK 20.04.2024 Místo: 515 GECO VAM DEKUJE CESKE BUDEJOV, Částka: 173 CZK 20.04.2024, Místo: 515 GECO VAM DEKUJE, CESKE BUDEJOV",Nákupy a služby,515 Geco Vam Dekuje Ceske Budej,2024-04,2024
2024-07-22,-159.0,"Částka: 159 CZK 18.07.2024 Místo: 515 GECO VAM DEKUJE CESKE BUDEJOV, Částka: 159 CZK 18.07.2024, Místo: 515 GECO VAM DEKUJE, CESKE BUDEJOV",Nákupy a služby,515 Geco Vam Dekuje Ceske Budej,2024-07,2024
2024-11-11,-164.0,"Částka: 164 CZK 08.11.2024 Místo: 515 GECO VAM DEKUJE CESKE BUDEJOV, Částka: 164 CZK 08.11.2024, Místo: 515 GECO VAM DEKUJE, CESKE BUDEJOV",Nákupy a služby,515 Geco Vam Dekuje Ceske Budej,2024-11,2024
2025-08-21,-500.0,"Částka: 500 CZK 19.08.2025 Místo: Air Bank 2318 Ceske Budejov, Částka: 500 CZK 19.08.2025, Místo: Air Bank 2318, Ceske Budejov",Výběr z bankomatu,Air_Bank,2025-08,2025
2026-03-23,-2700.0,"Částka: 2700 CZK 18.03.2026 Místo: Air Bank 2351 Ceske Budejov, Částka: 2700 CZK 18.03.2026, Místo: Air Bank 2351, Ceske Budejov",Výběr z bankomatu,Air_Bank,2026-03,2026
2022-02-08,-403.1,"Částka: 403,1 CZK 07.02.2022 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE  , Částka: 403,1 CZK 07.02.2022, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE,",Potraviny,Albert Vam Dekuje C. Budejovice,2022-02,2022
2022-02-14,-151.4,"Částka: 151,4 CZK 11.02.2022 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE  , Částka: 151,4 CZK 11.02.2022, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE,",Potraviny,Albert Vam Dekuje C. Budejovice,2022-02,2022
2022-02-18,-172.2,"Částka: 172,2 CZK 17.02.2022 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE  , Částka: 172,2 CZK 17.02.2022, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE,",Potraviny,Albert Vam Dekuje C. Budejovice,2022-02,2022
2022-03-01,-554.4,"Částka: 554,4 CZK 28.02.2022 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE  , Částka: 554,4 CZK 28.02.2022, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE,",Potraviny,Albert Vam Dekuje C. Budejovice,2022-03,2022
2022-03-17,-252.2,"Částka: 252,2 CZK 16.03.2022 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE  , Částka: 252,2 CZK 16.03.2022, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE,",Potraviny,Albert Vam Dekuje C. Budejovice,2022-03,2022
2022-03-22,-255.3,"Částka: 255,3 CZK 21.03.2022 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE  , Částka: 255,3 CZK 21.03.2022, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE,",Potraviny,Albert Vam Dekuje C. Budejovice,2022-03,2022
2022-03-23,-298.1,"Částka: 298,1 CZK 22.03.2022 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE  , Částka: 298,1 CZK 22.03.2022, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE,",Potraviny,Albert Vam Dekuje C. Budejovice,2022-03,2022
2022-03-29,-1641.2,"Částka: 1641,2 CZK 28.03.2022 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE  , Částka: 1641,2 CZK 28.03.2022, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE,",Potraviny,Albert Vam Dekuje C. Budejovice,2022-03,2022
2022-05-04,-495.5,"Částka: 495,5 CZK 03.05.2022 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE  , Částka: 495,5 CZK 03.05.2022, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE,",Potraviny,Albert Vam Dekuje C. Budejovice,2022-05,2022
2022-05-25,-400.7,"Částka: 400,7 CZK 24.05.2022 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE  , Částka: 400,7 CZK 24.05.2022, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE,",Potraviny,Albert Vam Dekuje C. Budejovice,2022-05,2022
2022-06-15,-224.4,"Částka: 224,4 CZK 14.06.2022 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE  , Částka: 224,4 CZK 14.06.2022, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE,",Potraviny,Albert Vam Dekuje C. Budejovice,2022-06,2022
2022-07-12,-260.0,"Částka: 260 CZK 11.07.2022 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE  , Částka: 260 CZK 11.07.2022, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE,",Potraviny,Albert Vam Dekuje C. Budejovice,2022-07,2022
2022-07-15,-620.7,"Částka: 620,7 CZK 14.07.2022 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE  , Částka: 620,7 CZK 14.07.2022, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE,",Potraviny,Albert Vam Dekuje C. Budejovice,2022-07,2022
2022-07-19,-209.0,"Částka: 209 CZK 18.07.2022 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE  , Částka: 209 CZK 18.07.2022, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE,",Potraviny,Albert Vam Dekuje C. Budejovice,2022-07,2022
2022-08-02,-433.8,"Částka: 433,8 CZK 01.08.2022 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE  , Částka: 433,8 CZK 01.08.2022, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE,",Potraviny,Albert Vam Dekuje C. Budejovice,2022-08,2022
2022-08-08,-313.1,"Částka: 313,1 CZK 05.08.2022 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE  , Částka: 313,1 CZK 05.08.2022, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE,",Potraviny,Albert Vam Dekuje C. Budejovice,2022-08,2022
2022-08-23,-349.0,"Částka: 349 CZK 22.08.2022 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE  , Částka: 349 CZK 22.08.2022, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE,",Potraviny,Albert Vam Dekuje C. Budejovice,2022-08,2022
2022-09-09,-397.9,"Částka: 397,9 CZK 08.09.2022 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE  , Částka: 397,9 CZK 08.09.2022, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE,",Potraviny,Albert Vam Dekuje C. Budejovice,2022-09,2022
2022-09-21,-758.9,"Částka: 758,9 CZK 20.09.2022 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE  , Částka: 758,9 CZK 20.09.2022, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE,",Potraviny,Albert Vam Dekuje C. Budejovice,2022-09,2022
2022-12-13,-203.3,"Částka: 203,3 CZK 12.12.2022 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 203,3 CZK 12.12.2022, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2022-12,2022
2022-12-21,-468.3,"Částka: 468,3 CZK 20.12.2022 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 468,3 CZK 20.12.2022, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2022-12,2022
2023-01-18,-760.5,"Částka: 760,5 CZK 17.01.2023 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 760,5 CZK 17.01.2023, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2023-01,2023
2023-01-25,-250.7,"Částka: 250,7 CZK 24.01.2023 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 250,7 CZK 24.01.2023, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2023-01,2023
2023-02-01,-217.1,"Částka: 217,1 CZK 31.01.2023 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 217,1 CZK 31.01.2023, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2023-02,2023
2023-02-13,-278.3,"Částka: 278,3 CZK 10.02.2023 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 278,3 CZK 10.02.2023, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2023-02,2023
2023-02-15,-624.8,"Částka: 624,8 CZK 14.02.2023 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 624,8 CZK 14.02.2023, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2023-02,2023
2023-02-20,-616.7,"Částka: 616,7 CZK 17.02.2023 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 616,7 CZK 17.02.2023, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2023-02,2023
2023-02-27,-296.2,"Částka: 296,2 CZK 24.02.2023 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 296,2 CZK 24.02.2023, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2023-02,2023
2023-03-15,-119.8,"Částka: 119,8 CZK 14.03.2023 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 119,8 CZK 14.03.2023, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2023-03,2023
2023-04-17,-377.7,"Částka: 377,7 CZK 15.04.2023 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 377,7 CZK 15.04.2023, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2023-04,2023
2023-04-19,-124.5,"Částka: 124,5 CZK 18.04.2023 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 124,5 CZK 18.04.2023, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2023-04,2023
2023-04-20,-600.6,"Částka: 600,6 CZK 19.04.2023 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 600,6 CZK 19.04.2023, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2023-04,2023
2023-04-25,-691.9,"Částka: 691,9 CZK 24.04.2023 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 691,9 CZK 24.04.2023, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2023-04,2023
2023-05-12,-719.6,"Částka: 719,6 CZK 11.05.2023 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 719,6 CZK 11.05.2023, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2023-05,2023
2023-05-18,-725.4,"Částka: 725,4 CZK 17.05.2023 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 725,4 CZK 17.05.2023, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2023-05,2023
2023-05-22,-518.7,"Částka: 518,7 CZK 19.05.2023 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 518,7 CZK 19.05.2023, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2023-05,2023
2023-05-26,-780.8,"Částka: 780,8 CZK 25.05.2023 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 780,8 CZK 25.05.2023, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2023-05,2023
2023-07-21,-370.9,"Částka: 370,9 CZK 20.07.2023 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 370,9 CZK 20.07.2023, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2023-07,2023
2023-10-24,-115.5,"Částka: 115,5 CZK 23.10.2023 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 115,5 CZK 23.10.2023, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2023-10,2023
2024-02-06,-551.5,"Částka: 551,5 CZK 05.02.2024 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 551,5 CZK 05.02.2024, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2024-02,2024
2024-03-08,-968.0,"Částka: 968 CZK 07.03.2024 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 968 CZK 07.03.2024, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2024-03,2024
2024-03-11,-79.9,"Částka: 79,9 CZK 10.03.2024 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 79,9 CZK 10.03.2024, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2024-03,2024
2024-03-15,-56.7,"Částka: 56,7 CZK 14.03.2024 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 56,7 CZK 14.03.2024, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2024-03,2024
2024-05-03,-19.0,"Částka: 19 CZK 02.05.2024 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 19 CZK 02.05.2024, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2024-05,2024
2024-06-03,-99.6,"Částka: 99,6 CZK 01.06.2024 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 99,6 CZK 01.06.2024, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2024-06,2024
2024-08-28,-108.4,"Částka: 108,4 CZK 27.08.2024 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 108,4 CZK 27.08.2024, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2024-08,2024
2024-08-28,-88.6,"Částka: 88,6 CZK 27.08.2024 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 88,6 CZK 27.08.2024, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2024-08,2024
2024-09-02,-116.5,"Částka: 116,5 CZK 31.08.2024 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 116,5 CZK 31.08.2024, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2024-09,2024
2024-09-02,-51.8,"Částka: 51,8 CZK 01.09.2024 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 51,8 CZK 01.09.2024, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2024-09,2024
2024-09-16,-526.0,"Částka: 526 CZK 14.09.2024 Místo: ALBERT VAM DEKUJE C. BUDEJOVICE, Částka: 526 CZK 14.09.2024, Místo: ALBERT VAM DEKUJE, C. BUDEJOVICE",Potraviny,Albert Vam Dekuje C. Budejovice,2024-09,2024
